n1,n2,tieStrength,connections,egoid
1,2,0,Out-shared,1
1,3,0,Out-direct,1
1,5,0,None,1
1,6,0,None,1
1,7,2,Out-direct,1
1,8,4,Out-direct,1
1,9,3,None,1
1,10,3,None,1
1,11,3,None,1
1,12,3,None,1
1,13,4,Out-shared,1
1,14,2,None,1
1,15,1,None,1
1,18,2,Out-shared,1
2,3,3,Prison-shared,1
3,4,1,None,1
3,5,1,None,1
3,6,1,Prison-shared,1
3,13,1,Out-shared,1
3,16,1,Prison-shared,1
3,18,2,Out-shared,1
4,5,2,Out-direct,1
4,6,2,Out-direct,1
4,14,1,Out-shared,1
4,16,1,Prison-shared,1
4,17,1,Prison-shared,1
5,6,2,Out-direct,1
5,16,1,Prison-shared,1
5,17,1,Prison-shared,1
6,16,2,Out-shared,1
6,17,2,Out-shared,1
7,8,4,Out-direct,1
7,9,1,None,1
7,10,1,None,1
7,11,1,None,1
7,13,3,Out-shared,1
7,14,1,None,1
7,15,2,None,1
7,18,1,None,1
8,9,1,None,1
8,10,1,None,1
8,11,1,None,1
8,13,3,Out-shared,1
8,18,3,None,1
9,10,4,Unknown,1
9,11,3,None,1
9,12,2,None,1
9,13,2,None,1
9,14,2,Prison-shared,1
9,18,2,None,1
10,11,4,Out-direct,1
10,12,3,None,1
10,13,2,Prison-shared,1
10,14,2,Prison-shared,1
10,18,1,None,1
11,12,3,Prison-shared,1
11,13,2,None,1
11,14,2,Out-shared,1
11,18,1,None,1
12,13,4,Out-direct,1
12,18,2,None,1
13,14,1,None,1
13,15,1,None,1
13,18,2,Out-shared,1
14,15,3,Out-shared,1
14,18,2,None,1
16,17,2,Out-shared,1
1,2,4,Out-direct,2
1,3,3,Prison-shared,2
1,4,3,Prison-shared,2
1,5,2,None,2
1,6,4,Out-direct,2
1,9,2,None,2
1,10,2,Out-shared,2
1,11,2,None,2
1,12,3,Prison-shared,2
1,13,1,None,2
1,14,4,Prison-direct,2
1,15,3,Prison-shared,2
2,3,2,None,2
2,4,1,None,2
2,5,2,Prison-shared,2
2,6,4,Out-shared,2
2,9,2,None,2
2,11,3,None,2
2,13,1,None,2
2,14,2,None,2
2,15,2,Prison-shared,2
3,4,4,Out-shared,2
3,5,1,None,2
3,6,1,None,2
3,9,3,Out-shared,2
3,10,1,None,2
3,11,1,None,2
3,12,2,Prison-shared,2
3,13,1,None,2
3,14,1,None,2
3,15,1,None,2
4,5,2,None,2
4,6,2,None,2
4,9,2,None,2
4,12,3,None,2
4,13,3,None,2
6,10,3,Out-shared,2
6,11,3,Prison-shared,2
6,13,2,Prison-shared,2
6,14,2,None,2
6,15,2,None,2
7,8,3,Out-shared,2
7,16,1,None,2
7,17,2,Prison-shared,2
8,16,1,None,2
8,17,2,Out-shared,2
9,10,3,Prison-direct,2
9,11,2,None,2
9,13,2,None,2
9,14,2,Out-direct,2
9,15,2,None,2
10,13,3,Out-direct,2
10,14,3,Out-direct,2
11,12,4,Out-shared,2
11,13,2,None,2
11,14,2,None,2
13,14,4,Out-direct,2
13,15,1,None,2
14,15,1,None,2
16,17,2,Prison-direct,2
1,2,3,None,3
1,4,3,None,3
1,5,4,Out-shared,3
1,12,3,Prison-direct,3
1,13,3,Prison-direct,3
1,14,2,None,3
1,15,3,None,3
1,16,3,None,3
2,3,4,Prison-shared,3
2,4,2,None,3
2,5,2,None,3
2,12,2,None,3
2,13,2,None,3
2,14,3,Out-shared,3
2,15,2,None,3
2,16,3,Prison-shared,3
4,5,3,Prison-shared,3
4,12,2,None,3
4,14,2,None,3
4,15,2,None,3
4,16,2,None,3
5,12,2,None,3
5,13,2,None,3
5,14,1,None,3
5,15,2,None,3
5,16,2,None,3
6,7,1,Prison-direct,3
6,8,1,Out-shared,3
6,9,1,Out-shared,3
7,8,2,Out-shared,3
7,9,2,Out-shared,3
7,10,2,Prison-direct,3
7,11,1,None,3
8,9,2,Out-direct,3
8,10,1,Prison-direct,3
8,11,1,Unknown,3
9,10,1,Unknown,3
9,11,1,Unknown,3
10,11,2,Prison-direct,3
12,13,2,Prison-direct,3
12,14,2,Prison-shared,3
12,15,2,None,3
13,14,2,Prison-shared,3
13,15,2,Unknown,3
14,15,2,Unknown,3
1,2,4,Out-direct,4
1,3,4,Out-shared,4
1,5,1,None,4
1,6,3,Out-shared,4
1,7,3,None,4
1,8,3,None,4
1,10,1,None,4
1,11,1,Out-shared,4
1,12,1,None,4
1,15,4,Out-direct,4
1,16,3,None,4
1,17,3,None,4
2,3,4,Out-shared,4
3,4,2,Prison-shared,4
3,8,2,Out-shared,4
3,15,3,Out-shared,4
3,16,3,None,4
3,17,3,None,4
4,5,1,Prison-shared,4
4,14,2,Prison-direct,4
4,21,3,Out-shared,4
5,15,3,Out-shared,4
6,7,4,Out-direct,4
6,8,4,Prison-shared,4
6,9,1,Prison-shared,4
6,15,3,None,4
6,16,1,None,4
6,17,2,None,4
7,8,4,Out-shared,4
7,9,1,Prison-shared,4
7,15,3,None,4
7,16,1,None,4
7,17,2,None,4
7,19,1,Prison-direct,4
8,9,1,None,4
8,15,3,None,4
8,17,2,None,4
9,12,2,None,4
9,17,1,None,4
10,11,3,Out-direct,4
11,18,1,Prison-shared,4
11,21,1,Prison-shared,4
12,16,3,Prison-direct,4
12,17,3,Prison-shared,4
13,14,1,None,4
14,18,2,Prison-shared,4
14,19,1,Prison-shared,4
14,20,2,Prison-shared,4
14,21,2,None,4
15,16,1,None,4
15,17,3,None,4
16,17,4,Out-shared,4
18,19,2,Prison-direct,4
18,20,2,Prison-direct,4
18,21,2,Prison-shared,4
19,20,2,Prison-shared,4
19,21,2,Prison-shared,4
20,21,2,Prison-shared,4
1,2,1,Unknown,5
1,6,1,None,5
1,7,4,Out-direct,5
1,8,4,Out-direct,5
1,9,4,Out-shared,5
1,10,2,None,5
1,11,3,None,5
2,6,2,None,5
3,4,2,None,5
6,7,3,None,5
6,9,3,None,5
7,8,4,Out-direct,5
7,9,4,None,5
7,10,4,None,5
8,9,4,Out-shared,5
8,10,4,Prison-direct,5
9,10,4,Prison-direct,5
12,13,2,Out-shared,5
12,14,2,Out-shared,5
13,14,2,Out-shared,5
1,2,4,None,6
1,3,3,None,6
1,4,4,Prison-shared,6
1,6,2,None,6
1,7,1,Out-shared,6
1,8,1,None,6
2,3,4,Unknown,6
2,4,2,Unknown,6
2,7,1,Unknown,6
2,8,1,Unknown,6
3,4,2,None,6
3,6,2,None,6
3,7,1,None,6
3,8,1,None,6
4,6,2,None,6
4,7,2,None,6
4,8,2,None,6
5,9,1,None,6
5,10,1,None,6
7,8,4,Out-direct,6
9,10,2,Prison-direct,6
1,2,2,Prison-shared,7
1,3,4,None,7
1,4,4,None,7
1,5,4,Out-shared,7
1,6,3,None,7
1,7,3,Prison-direct,7
1,12,2,None,7
1,13,2,None,7
2,3,4,Unknown,7
2,4,2,Unknown,7
2,5,4,Unknown,7
2,6,3,Unknown,7
2,7,3,Unknown,7
3,4,4,Unknown,7
3,5,2,Unknown,7
3,6,3,Unknown,7
6,7,4,Prison-shared,7
8,9,2,Prison-direct,7
8,10,1,None,7
9,10,1,Prison-shared,7
10,14,2,None,7
10,15,2,Prison-shared,7
10,16,1,Prison-shared,7
10,17,1,None,7
12,3,1,None,7
12,5,1,None,7
12,7,1,None,7
12,13,4,Prison-direct,7
13,3,1,None,7
13,5,1,None,7
13,7,1,None,7
14,15,2,Prison-direct,7
14,16,2,Prison-direct,7
15,16,2,Out-direct,7
17,18,2,Prison-shared,7
17,19,2,Prison-shared,7
18,12,1,Prison-shared,7
18,19,2,Prison-shared,7
19,12,1,Prison-shared,7
1,2,4,Prison-direct,8
1,3,4,Prison-direct,8
1,5,2,Out-shared,8
1,7,1,None,8
2,3,4,Out-shared,8
2,5,1,None,8
2,7,1,None,8
3,4,2,None,8
4,6,2,None,8
5,7,3,None,8
8,9,2,Prison-shared,8
8,10,2,Prison-shared,8
8,11,2,Prison-shared,8
9,10,2,Prison-shared,8
9,11,2,Prison-shared,8
10,11,2,Prison-shared,8
1,2,2,Out-direct,9
1,3,2,Out-shared,9
1,4,0,Out-shared,9
1,5,1,None,9
1,6,1,Prison-direct,9
1,7,1,Prison-direct,9
1,10,1,Prison-shared,9
1,12,1,Prison-shared,9
2,3,2,Out-shared,9
3,5,1,None,9
3,6,1,None,9
3,7,1,None,9
3,10,1,Prison-shared,9
3,12,2,Out-shared,9
4,8,3,Unknown,9
4,9,3,Unknown,9
4,10,2,Unknown,9
4,11,2,Unknown,9
4,12,2,Unknown,9
6,7,2,Prison-shared,9
8,9,3,Unknown,9
8,10,2,Unknown,9
8,11,2,Unknown,9
10,12,4,Out-shared,9
1,2,2,None,10
1,3,4,Prison-shared,10
1,4,2,None,10
1,5,3,None,10
1,6,3,None,10
1,9,1,None,10
1,10,3,None,10
1,11,2,Out-shared,10
1,14,1,Prison-direct,10
1,15,2,Out-shared,10
1,16,2,Out-direct,10
2,3,2,Out-direct,10
2,4,2,Prison-shared,10
3,4,2,Unknown,10
5,6,2,Prison-direct,10
5,11,2,Out-direct,10
6,8,2,Prison-shared,10
6,9,1,None,10
6,10,2,Prison-shared,10
8,10,2,Prison-shared,10
8,11,2,Prison-shared,10
8,12,2,Prison-shared,10
9,13,2,Out-direct,10
9,15,2,Prison-shared,10
10,11,4,Out-shared,10
10,12,4,Prison-direct,10
11,12,4,Prison-shared,10
11,13,2,Out-shared,10
13,15,1,Prison-shared,10
14,8,2,Out-shared,10
14,11,2,Prison-shared,10
1,2,2,Prison-direct,11
1,3,1,Out-direct,11
1,5,1,None,11
1,7,1,None,11
1,8,1,None,11
1,9,2,Out-shared,11
2,9,2,Out-shared,11
3,4,2,Prison-shared,11
3,5,2,Prison-shared,11
3,6,2,Prison-shared,11
3,7,1,None,11
3,8,2,Prison-shared,11
4,5,1,None,11
4,6,2,None,11
4,7,2,Out-shared,11
4,8,2,None,11
6,7,1,Prison-shared,11
6,8,2,Unknown,11
7,8,2,Prison-direct,11
1,2,4,None,12
1,3,4,None,12
1,4,4,None,12
1,5,4,None,12
1,6,4,None,12
1,7,1,None,12
1,9,2,None,12
2,3,4,None,12
2,4,4,Prison-direct,12
2,5,4,Prison-shared,12
2,6,4,Prison-shared,12
3,4,4,Prison-shared,12
3,5,4,Prison-direct,12
3,6,4,Prison-shared,12
3,9,2,Prison-direct,12
4,5,4,Out-shared,12
4,6,4,Prison-direct,12
4,11,2,Prison-shared,12
5,6,4,Prison-shared,12
5,7,2,Prison-shared,12
5,9,2,Prison-direct,12
5,10,1,Prison-direct,12
6,11,2,Prison-shared,12
8,10,2,Unknown,12
8,12,1,Unknown,12
12,13,2,Prison-shared,12
12,14,2,Prison-shared,12
12,15,2,Prison-shared,12
13,14,2,Prison-shared,12
13,15,2,Prison-shared,12
14,15,2,Out-shared,12
1,2,4,Out-direct,13
1,3,3,None,13
1,4,3,None,13
1,6,4,Out-direct,13
1,7,2,None,13
1,8,2,Out-shared,13
1,9,4,Out-shared,13
1,12,1,Out-shared,13
2,3,3,None,13
2,6,4,Out-direct,13
2,7,2,Prison-shared,13
2,8,2,Out-shared,13
2,9,2,Out-shared,13
2,12,1,Out-shared,13
3,4,4,Unknown,13
3,14,1,Out-shared,13
4,5,1,Out-shared,13
6,3,3,None,13
6,7,2,Prison-direct,13
